# 영상 소재는 저장소에 안 들어간다 (.gitignore: motion/public/*/*.mp4).
# 대신 **받아오는 방법**을 여기 적어 둔다 — scripts/fetch_videos.py 가 읽는다.
# 파일명	출처	ID	자를 길이(초)
construction.mp4	pexels	29794133	10
worker_site.mp4	pexels	13921040	10
housekeeping.mp4	pexels	9472830	10
hotel_corridor.mp4	pexels	31751335	10
hotel_chandelier.mp4	pexels	34555902	8
hotel_grand_interior.mp4	pexels	34867898	8
hotel_lobby_walk.mp4	pexels	6474635	8
seoul_aerial.mp4	pexels	38734543	8
seoul_sunset.mp4	pexels	38259256	8
namsan_tower_aerial.mp4	pexels	30975008	8
seoul_intersection.mp4	pexels	37971704	8
seoul_riverside.mp4	pexels	38259254	8
seoul_downtown_aerial.mp4	pexels	29980567	8
spa_pool.mp4	pexels	10652457	8
spa_massage.mp4	pexels	36997652	8
tourists_terminal.mp4	pexels	37921159	8
tourists_walk.mp4	pexels	5928085	8
office_modern.mp4	pexels	5716999	8
office_empty.mp4	pexels	8347237	8
banquet_setup.mp4	pexels	31501463	8
banquet_chandeliers.mp4	pexels	35760808	8
banquet_dinner.mp4	pexels	34506427	8
demolition_aerial.mp4	pexels	36752521	8
demolition_machine.mp4	pexels	34241154	8
mall_luxury.mp4	pexels	35275606	8
mall_escalator.mp4	pexels	29447858	8
mall_busy.mp4	pexels	36108273	8
store_interior.mp4	pexels	32938061	8
hotel_rooms_modern.mp4	pexels	19403230	10
hotel_dining_interior.mp4	pexels	857151	10
wedding_hall_setup.mp4	pexels	3122106	10
